DATE,ACTUAL,PREDICT,UPPER,LOWER,ERROR,STD,NERROR,SDUMMY1,SDUMMY2,SDUMMY3,SDUMMY4,SDUMMY5,SDUMMY6,SDUMMY7,SDUMMY8,SDUMMY9,SDUMMY10,SDUMMY11,_LINEAR_,_QUAD_
01DEC1988,4105398,6619078,9147005,4091151,-2513680,1289782,-1.9489,0,0,0,0,0,0,0,0,0,0,0,33,1089
01JAN1989,9771094,9527530,12055457,6999603,243564,1289782,0.1888,1,0,0,0,0,0,0,0,0,0,0,34,1156
01FEB1989,6014135,6315191,8843118,3787264,-301056,1289782,-0.2334,0,1,0,0,0,0,0,0,0,0,0,35,1225
01MAR1989,8928203,7869211,10397138,5341284,1058992,1289782,0.8211,0,0,1,0,0,0,0,0,0,0,0,36,1296
01APR1989,6941052,6573247,9101174,4045320,367805,1289782,0.2852,0,0,0,1,0,0,0,0,0,0,0,37,1369
01MAY1989,3838498,4155134,6683061,1627207,-316636,1289782,-0.2455,0,0,0,0,1,0,0,0,0,0,0,38,1444
01JUN1989,4498658,3592883,6120809,1064956,905775,1289782,0.7023,0,0,0,0,0,1,0,0,0,0,0,39,1521
01JUL1989,6917554,5789046,8316973,3261120,1128508,1289782,0.8750,0,0,0,0,0,0,1,0,0,0,0,40,1600
01AUG1989,7045552,7736390,10264317,5208463,-690838,1289782,-0.5356,0,0,0,0,0,0,0,1,0,0,0,41,1681
01SEP1989,7803470,6991087,9519013,4463160,812383,1289782,0.6299,0,0,0,0,0,0,0,0,1,0,0,42,1764
01OCT1989,7404920,7157220,9685147,4629293,247700,1289782,0.1920,0,0,0,0,0,0,0,0,0,1,0,43,1849
01NOV1989,5029454,5876353,8404280,3348426,-846899,1289782,-0.6566,0,0,0,0,0,0,0,0,0,0,1,44,1936
01DEC1989,4902686,6668236,9196162,4140309,-1765550,1289782,-1.3689,0,0,0,0,0,0,0,0,0,0,0,45,2025
01JAN1990,9277777,9586736,12114663,7058809,-308959,1289782,-0.2395,1,0,0,0,0,0,0,0,0,0,0,46,2116
01FEB1990,6994167,6384445,8912372,3856519,609722,1289782,0.4727,0,1,0,0,0,0,0,0,0,0,0,47,2209
01MAR1990,8203454,7948514,10476440,5420587,254940,1289782,0.1977,0,0,1,0,0,0,0,0,0,0,0,48,2304
01APR1990,6261191,6662598,9190525,4134672,-401407,1289782,-0.3112,0,0,0,1,0,0,0,0,0,0,0,49,2401
01MAY1990,4655394,4254534,6782460,1726607,400860,1289782,0.3108,0,0,0,0,1,0,0,0,0,0,0,50,2500
01JUN1990,4876377,3702331,6230257,1174404,1174046,1289782,0.9103,0,0,0,0,0,1,0,0,0,0,0,51,2601
01JUL1990,5761881,5908543,8436470,3380616,-146662,1289782,-0.1137,0,0,0,0,0,0,1,0,0,0,0,52,2704
01AUG1990,9915741,7865934,10393861,5338008,2049807,1289782,1.5893,0,0,0,0,0,0,0,1,0,0,0,53,2809
01SEP1990,6273083,7130680,9658606,4602753,-857597,1289782,-0.6649,0,0,0,0,0,0,0,0,1,0,0,54,2916
01OCT1990,8019762,7306862,9834788,4778935,712900,1289782,0.5527,0,0,0,0,0,0,0,0,0,1,0,55,3025
01NOV1990,5981632,6036043,8563969,3508116,-54411,1289782,-0.0422,0,0,0,0,0,0,0,0,0,0,1,56,3136
01DEC1990,7081181,6837974,9365901,4310047,243207,1289782,0.1886,0,0,0,0,0,0,0,0,0,0,0,57,3249
01JAN1991,13345376,9766523,12294450,7238596,3578853,1289782,2.7748,1,0,0,0,0,0,0,0,0,0,0,58,3364
01FEB1991,6211981,6574280,9102207,4046354,-362299,1289782,-0.2809,0,1,0,0,0,0,0,0,0,0,0,59,3481
01MAR1991,8103349,8148397,10676324,5620470,-45048,1289782,-0.0349,0,0,1,0,0,0,0,0,0,0,0,60,3600
01APR1991,7161457,6872530,9400457,4344603,288927,1289782,0.2240,0,0,0,1,0,0,0,0,0,0,0,61,3721
01MAY1991,4604493,4474514,7002441,1946587,129979,1289782,0.1008,0,0,0,0,1,0,0,0,0,0,0,62,3844
01JUN1991,5701641,3932359,6460286,1404432,1769282,1289782,1.3718,0,0,0,0,0,1,0,0,0,0,0,63,3969
01JUL1991,5859560,6148620,8676546,3620693,-289060,1289782,-0.2241,0,0,0,0,0,0,1,0,0,0,0,64,4096
01AUG1991,6883263,8116060,10643986,5588133,-1232797,1289782,-0.9558,0,0,0,0,0,0,0,1,0,0,0,65,4225
01SEP1991,7238615,7390853,9918780,4862927,-152238,1289782,-0.1180,0,0,0,0,0,0,0,0,1,0,0,66,4356
01OCT1991,9463285,7577084,10105010,5049157,1886201,1289782,1.4624,0,0,0,0,0,0,0,0,0,1,0,67,4489
01NOV1991,7716502,6316313,8844240,3788386,1400189,1289782,1.0856,0,0,0,0,0,0,0,0,0,0,1,68,4624
01DEC1991,5414492,7128293,9656219,4600366,-1713801,1289782,-1.3288,0,0,0,0,0,0,0,0,0,0,0,69,4761
01JAN1992,8886329,10066890,12594817,7538963,-1180561,1289782,-0.9153,1,0,0,0,0,0,0,0,0,0,0,70,4900
01FEB1992,7115231,6884696,9412623,4356769,230535,1289782,0.1787,0,1,0,0,0,0,0,0,0,0,0,71,5041
01MAR1992,8282449,8468861,10996788,5940934,-186412,1289782,-0.1445,0,0,1,0,0,0,0,0,0,0,0,72,5184
01APR1992,7319900,7203042,9730969,4675116,116858,1289782,0.0906,0,0,0,1,0,0,0,0,0,0,0,73,5329
01MAY1992,5235447,4815075,7343001,2287148,420372,1289782,0.3259,0,0,0,0,1,0,0,0,0,0,0,74,5476
01JUN1992,4030757,4282968,6810895,1755041,-252211,1289782,-0.1955,0,0,0,0,0,1,0,0,0,0,0,75,5625
01JUL1992,6962523,6509277,9037204,3981350,453246,1289782,0.3514,0,0,0,0,0,0,1,0,0,0,0,76,5776
01AUG1992,7960453,8486766,11014692,5958839,-526313,1289782,-0.4081,0,0,0,0,0,0,0,1,0,0,0,77,5929
01SEP1992,7880669,7771608,10299534,5243681,109061,1289782,0.0846,0,0,0,0,0,0,0,0,1,0,0,78,6084
01OCT1992,8428762,7967886,10495813,5439960,460876,1289782,0.3573,0,0,0,0,0,0,0,0,0,1,0,79,6241
01NOV1992,7659724,6717164,9245091,4189237,942560,1289782,0.7308,0,0,0,0,0,0,0,0,0,0,1,80,6400
01DEC1992,9337134,7539192,10067119,5011265,1797942,1289782,1.3940,0,0,0,0,0,0,0,0,0,0,0,81,6561
01JAN1993,9840000,10487838,13015764,7959911,-647838,1289782,-0.5023,1,0,0,0,0,0,0,0,0,0,0,82,6724
01FEB1993,7318000,7315692,9843619,4787765,2308,1289782,0.001789,0,1,0,0,0,0,0,0,0,0,0,83,6889
01MAR1993,7284000,8909905,11437832,6381979,-1625905,1289782,-1.2606,0,0,1,0,0,0,0,0,0,0,0,84,7056
01APR1993,8483000,7654135,10182062,5126208,828865,1289782,0.6426,0,0,0,1,0,0,0,0,0,0,0,85,7225
01MAY1993,5031000,5276216,7804143,2748289,-245216,1289782,-0.1901,0,0,0,0,1,0,0,0,0,0,0,86,7396
01JUN1993,4361000,4754158,7282084,2226231,-393158,1289782,-0.3048,0,0,0,0,0,1,0,0,0,0,0,87,7569
01JUL1993,7522000,6990515,9518442,4462588,531485,1289782,0.4121,0,0,0,0,0,0,1,0,0,0,0,88,7744
01AUG1993,8405000,8978052,11505979,6450125,-573052,1289782,-0.4443,0,0,0,0,0,0,0,1,0,0,0,89,7921
01SEP1993,9160000,8272942,10800869,5745016,887058,1289782,0.6878,0,0,0,0,0,0,0,0,1,0,0,90,8100
01OCT1993,9222000,8479269,11007196,5951343,742731,1289782,0.5759,0,0,0,0,0,0,0,0,0,1,0,91,8281
01NOV1993,8674000,7238596,9766522,4710669,1435404,1289782,1.1129,0,0,0,0,0,0,0,0,0,0,1,92,8464
01DEC1993,10660000,8070672,10598599,5542745,2589328,1289782,2.0076,0,0,0,0,0,0,0,0,0,0,0,93,8649
01JAN1994,10425000,11029366,13557293,8501439,-604366,1289782,-0.4686,1,0,0,0,0,0,0,0,0,0,0,94,8836
01FEB1994,9365000,7867269,10395195,5339342,1497731,1289782,1.1612,0,1,0,0,0,0,0,0,0,0,0,95,9025
01MAR1994,10308000,9471530,11999457,6943604,836470,1289782,0.6485,0,0,1,0,0,0,0,0,0,0,0,96,9216
01APR1994,8638000,8225809,10753735,5697882,412191,1289782,0.3196,0,0,0,1,0,0,0,0,0,0,0,97,9409
01MAY1994,6582000,5857938,8385864,3330011,724062,1289782,0.5614,0,0,0,0,1,0,0,0,0,0,0,98,9604
01JUN1994,4967000,5345928,7873855,2818001,-378928,1289782,-0.2938,0,0,0,0,0,1,0,0,0,0,0,99,9801
01JUL1994,7718000,7592334,10120260,5064407,125666,1289782,0.0974,0,0,0,0,0,0,1,0,0,0,0,100,10000
01AUG1994,8769000,9589919,12117846,7061992,-820919,1289782,-0.6365,0,0,0,0,0,0,0,1,0,0,0,101,10201
01SEP1994,10527000,8894858,11422784,6366931,1632142,1289782,1.2654,0,0,0,0,0,0,0,0,1,0,0,102,10404
01OCT1994,8486000,9111233,11639160,6583306,-625233,1289782,-0.4848,0,0,0,0,0,0,0,0,0,1,0,103,10609
01NOV1994,8033000,7880608,10408534,5352681,152392,1289782,0.1182,0,0,0,0,0,0,0,0,0,0,1,104,10816
01DEC1994,10566000,8722732,11250659,6194806,1843268,1289782,1.4291,0,0,0,0,0,0,0,0,0,0,0,105,11025
01JAN1995,9089000,11691475,14219402,9163548,-2602475,1289782,-2.0178,1,0,0,0,0,0,0,0,0,0,0,106,11236
01FEB1995,7927000,8539426,11067353,6011499,-612426,1289782,-0.4748,0,1,0,0,0,0,0,0,0,0,0,107,11449
01MAR1995,10113000,10153736,12681663,7625809,-40736,1289782,-0.0316,0,0,1,0,0,0,0,0,0,0,0,108,11664
01APR1995,8410000,8918063,11445989,6390136,-508063,1289782,-0.3939,0,0,0,1,0,0,0,0,0,0,0,109,11881
01MAY1995,6571000,6560240,9088167,4032313,10760,1289782,0.008343,0,0,0,0,1,0,0,0,0,0,0,110,12100
01JUN1995,5885000,6058279,8586205,3530352,-173279,1289782,-0.1343,0,0,0,0,0,1,0,0,0,0,0,111,12321
