DATE,ESPECTADORES,t,sin1,cos1,sin2,cos2,sin3,cos3,sin4,cos4,sin5,cos5,cos6
01NOV1993,7716502,119,-0.5,0.8660254038,-0.866025404,0.5,-1,-1.61684E-14,-0.866025404,-0.5,-0.5,-0.866025404,-1
01DEC1993,5414492,120,-9.55472E-15,1,-1.91094E-14,1,-2.15587E-14,1,-3.82189E-14,1,1.964387E-15,1,1
01JAN1994,8886329,121,0.5,0.8660254038,0.8660254038,0.5,1,-1.47267E-15,0.8660254038,-0.5,0.5,-0.866025404,-1
01FEB1994,7115231,122,0.8660254038,0.5,0.8660254038,-0.5,3.917632E-15,-1,-0.866025404,-0.5,-0.866025404,0.5,1
01MAR1994,8282449,123,1,7.839596E-15,1.567919E-14,-1,-1,-9.30793E-15,-3.13584E-14,1,1,-3.18563E-14,-1
01APR1994,7319900,124,0.8660254038,-0.5,-0.866025404,-0.5,-1.46982E-14,1,0.8660254038,-0.5,-0.866025404,-0.5,1
01MAY1994,5235447,125,0.5,-0.866025404,-0.866025404,0.5,1,2.008854E-14,-0.866025404,-0.5,0.5,0.8660254038,-1
01JUN1994,4030757,126,1.32299E-14,-1,-2.64598E-14,1,-2.94287E-15,-1,-5.29196E-14,1,-4.90478E-15,-1,1
01JUL1994,6962523,127,-0.5,-0.866025404,0.8660254038,0.5,-1,-2.44744E-15,0.8660254038,-0.5,-0.5,0.8660254038,-1
01AUG1994,7960453,128,-0.866025404,-0.5,0.8660254038,-0.5,-7.83774E-15,1,-0.866025404,-0.5,0.8660254038,-0.5,1
01SEP1994,7880669,129,-1,-4.40935E-15,8.818695E-15,-1,1,1.322804E-14,-1.76374E-14,1,-1,-2.20467E-14,-1
01OCT1994,8428762,130,-0.866025404,0.5,-0.866025404,-0.5,1.861835E-14,-1,0.8660254038,-0.5,0.8660254038,0.5,1
01NOV1994,7659724,131,-0.5,0.8660254038,-0.866025404,0.5,-1,4.413061E-15,-0.866025404,-0.5,-0.5,-0.866025404,-1
01DEC1994,9337134,132,-9.79965E-15,1,-1.95993E-14,1,-9.77242E-16,1,-3.91986E-14,1,7.845167E-15,1,1
01JAN1995,9840000,133,0.5,0.8660254038,0.8660254038,0.5,1,6.367544E-15,0.8660254038,-0.5,0.5,-0.866025404,-1
01FEB1995,7318000,134,0.8660254038,0.5,0.8660254038,-0.5,1.175785E-14,-1,-0.866025404,-0.5,-0.866025404,0.5,1
01MAR1995,7284000,135,1,9.790985E-16,1.958197E-15,-1,-1,-1.71482E-14,-3.91639E-15,1,1,1.910635E-14,-1
01APR1995,8483000,136,0.8660254038,-0.5,-0.866025404,-0.5,5.883256E-15,1,0.8660254038,-0.5,-0.866025404,-0.5,1
01MAY1995,5031000,137,0.5,-0.866025404,-0.866025404,0.5,1,-4.92954E-16,-0.866025404,-0.5,0.5,0.8660254038,-1
01JUN1995,4361000,138,6.369401E-15,-1,-1.27388E-14,1,4.897349E-15,-1,-2.54776E-14,1,-1.07856E-14,-1,1
01JUL1995,7522000,139,-0.5,-0.866025404,0.8660254038,0.5,-1,-1.02877E-14,0.8660254038,-0.5,-0.5,0.8660254038,-1
01AUG1995,8405000,140,-0.866025404,-0.5,0.8660254038,-0.5,-1.5678E-14,1,-0.866025404,-0.5,0.8660254038,-0.5,1
01SEP1995,9160000,141,-1,-1.17597E-14,2.351941E-14,-1,1,2.106826E-14,-4.70388E-14,1,-1,-1.6166E-14,-1
01OCT1995,9222000,142,-0.866025404,0.5,-0.866025404,-0.5,-1.96315E-15,-1,0.8660254038,-0.5,0.8660254038,0.5,1
01NOV1995,8674000,143,-0.5,0.8660254038,-0.866025404,0.5,-1,-3.42715E-15,-0.866025404,-0.5,-0.5,-0.866025404,-1
01DEC1995,10660000,144,-2.93915E-15,1,-5.8783E-15,1,-8.81746E-15,1,-1.17566E-14,1,1.372595E-14,1,1
