DATE,ESPECTADORES,t,t2,sin1,cos1,sin2,cos2,sin3,cos3,sin4,cos4,sin5,cos5,sin6,cos6
01OCT1988,9021678,82,6724,-0.866025404,0.5,-0.866025404,-0.5,1.567919E-14,-1,0.8660254038,-0.5,0.8660254038,0.5,-3.13584E-14,1
01NOV1988,5789416,83,6889,-0.5,0.8660254038,-0.866025404,0.5,-1,7.352214E-15,-0.866025404,-0.5,-0.5,-0.866025404,-1.47044E-14,-1
01DEC1988,4105398,84,7056,-1.71451E-15,1,-3.42901E-15,1,1.961911E-15,1,-6.85802E-15,1,1.274375E-14,1,3.923822E-15,1
01JAN1989,9771094,85,7225,0.5,0.8660254038,0.8660254038,0.5,1,3.428392E-15,0.8660254038,-0.5,0.5,-0.866025404,6.856784E-15,-1
01FEB1989,6014135,86,7396,0.8660254038,0.5,0.8660254038,-0.5,8.818695E-15,-1,-0.866025404,-0.5,-0.866025404,0.5,-1.76374E-14,1
01MAR1989,8928203,87,7569,1,7.104808E-15,1.420962E-14,-1,-1,-1.4209E-14,-2.84192E-14,1,1,-1.42139E-14,2.8418E-14,-1
01APR1989,6941052,88,7744,0.8660254038,-0.5,-0.866025404,-0.5,-1.95993E-14,1,0.8660254038,-0.5,-0.866025404,-0.5,-3.91986E-14,1
01MAY1989,3838498,89,7921,0.5,-0.866025404,-0.866025404,0.5,1,-3.43211E-15,-0.866025404,-0.5,0.5,0.8660254038,-6.86421E-15,-1
01JUN1989,4498658,90,8100,5.389684E-15,-1,-1.07794E-14,1,1.958197E-15,-1,-2.15587E-14,1,-1.56841E-14,-1,-3.91639E-15,1
01JUL1989,6917554,91,8281,-0.5,-0.866025404,0.8660254038,0.5,-1,-7.3485E-15,0.8660254038,-0.5,-0.5,0.8660254038,1.4697E-14,-1
01AUG1989,7045552,92,8464,-0.866025404,-0.5,0.8660254038,-0.5,-1.27388E-14,1,-0.866025404,-0.5,0.8660254038,-0.5,-2.54776E-14,1
01SEP1989,7803470,93,8649,-1,-3.67456E-15,7.349119E-15,-1,1,1.812911E-14,-1.46982E-14,1,-1,1.715434E-14,3.625821E-14,-1
01OCT1989,7404920,94,8836,-0.866025404,0.5,-0.866025404,-0.5,-4.9023E-15,-1,0.8660254038,-0.5,0.8660254038,0.5,9.804602E-15,1
01NOV1989,5029454,95,9025,-0.5,0.8660254038,-0.866025404,0.5,-1,-4.88002E-16,-0.866025404,-0.5,-0.5,-0.866025404,9.760036E-16,-1
01DEC1989,4902686,96,9216,-1.95943E-15,1,-3.91887E-15,1,-5.8783E-15,1,-7.83774E-15,1,-9.79717E-15,1,-1.17566E-14,1
01JAN1990,9277777,97,9409,0.5,0.8660254038,0.8660254038,0.5,1,1.126861E-14,0.8660254038,-0.5,0.5,-0.866025404,2.253721E-14,-1
01FEB1990,6994167,98,9604,0.8660254038,0.5,0.8660254038,-0.5,1.665891E-14,-1,-0.866025404,-0.5,-0.866025404,0.5,-3.33178E-14,1
01MAR1990,8203454,99,9801,1,7.349738E-15,1.469948E-14,-1,-1,6.372496E-15,-2.9399E-14,1,1,-2.00947E-14,-1.2745E-14,-1
01APR1990,6261191,100,10000,0.8660254038,-0.5,-0.866025404,-0.5,9.821934E-16,1,0.8660254038,-0.5,-0.866025404,-0.5,1.964387E-15,1
01MAY1990,4655394,101,10201,0.5,-0.866025404,-0.866025404,0.5,1,4.408109E-15,-0.866025404,-0.5,0.5,0.8660254038,8.816219E-15,-1
01JUN1990,4876377,102,10404,5.634613E-15,-1,-1.12692E-14,1,9.798412E-15,-1,-2.25385E-14,1,6.856784E-15,-1,-1.95968E-14,1
01JUL1990,5761881,103,10609,-0.5,-0.866025404,0.8660254038,0.5,-1,-1.51887E-14,0.8660254038,-0.5,-0.5,0.8660254038,3.037743E-14,-1
01AUG1990,9915741,104,10816,-0.866025404,-0.5,0.8660254038,-0.5,7.842691E-15,1,-0.866025404,-0.5,0.8660254038,-0.5,1.568538E-14,1
01SEP1990,6273083,105,11025,-1,-3.91949E-15,7.838977E-15,-1,1,-2.45239E-15,-1.5678E-14,1,-1,2.303512E-14,-4.90478E-15,-1
01OCT1990,8019762,106,11236,-0.866025404,0.5,-0.866025404,-0.5,2.937914E-15,-1,0.8660254038,-0.5,0.8660254038,0.5,-5.87583E-15,1
01NOV1990,5981632,107,11449,-0.5,0.8660254038,-0.866025404,0.5,-1,-8.32822E-15,-0.866025404,-0.5,-0.5,-0.866025404,1.665643E-14,-1
01DEC1990,7081181,108,11664,-9.30979E-15,1,-1.86196E-14,1,-1.37185E-14,1,-3.72392E-14,1,-3.91639E-15,1,-2.7437E-14,1
01JAN1991,13345376,109,11881,0.5,0.8660254038,0.8660254038,0.5,1,1.910882E-14,0.8660254038,-0.5,0.5,-0.866025404,3.821765E-14,-1
